First Name,Email ID,Quantity,Events,Attendee Status,College Name,Event_Source,Designation,Year of Graduation,City,CGPA,Experience with python (Months),Family_Income(Lack),Expected salary (Lack),Leadership- skills
kevin,kevin@xyz.com,1,hello ml and dl,attending,g h raisoni institut of engineering and technology pune,email,students,2024,mahe,6.9,4,0-2,20,no
latonya,latonya@xyz.com,1,hello ml and dl,attending,don bosco college of engineering fatorda goa,whatsapp,students,2023,amer,6.5,5,0-2,9,no
joseph,joseph@xyz.com,1,hello ml and dl,attending,st xavier's college ,whatsapp,students,2024,bikaner,6.9,5,0-2,8,yes
alma,alma@xyz.com,1,hello ml and dl,attending,"vidyalankar institute of technology, mumbai",whatsapp,students,2024,jaipur,7.6,3,0-2,6,no
myrna,myrna@xyz.com,1,hello ml and dl,attending,"s.i.e.s. graduate school of technology, nerul, navi mumbai",whatsapp,students,2023,jalor,6.5,3,0-2,8,no
maria,maria@xyz.com,1,hello ml and dl,attending,g h raisoni institut of engineering and technology pune,email,students,2025,jhalwar,7.3,5,0-2,21,no
ola,ola@xyz.com,1,hello ml and dl,attending,government polytechnic gandhinagar,linkedin|whatsapp,students,2026,jodhpur,6.7,3,0-2,5,yes
joann,joann@xyz.com,1,hello ml and dl,attending,"vishwakarma institute of technology, pune",cloud counselage website,students,2024,pali,6.7,3,0-2,23,no
carol,carol@xyz.com,1,hello ml and dl,attending,"priyadarshini college of engineering, nagpur ",email,students,2023,ahemdabad,7.2,5,0-2,7,no
ahmad,ahmad@xyz.com,1,hello ml and dl,attending,st.francis institute of technology,youtube|whatsapp,students,2024,amreli,8.5,5,0-2,5,no
georgiana,georgiana@xyz.com,1,hello ml and dl,attending,late g. n. sapkal college of engineering,whatsapp,students,2025,godhra,6.6,3,0-2,19,yes
mark,mark@xyz.com,1,hello ml and dl,attending,"symbiosis institute of technology, pune",whatsapp,students,2023,jamnagar,9.5,4,0-2,18,no
adrianne,adrianne@xyz.com,1,hello ml and dl,attending,"ld college of engineering, ahmedabad, gujarat ",whatsapp,students,2024,nadiad,9.1,3,0-2,9,no
eric,eric@xyz.com,1,hello ml and dl,attending,dkte society's textile and engineering institute ichalkaranji,cloud counselage website,students,2024,navsari,7.6,5,0-2,9,no
lydia,lydia@xyz.com,1,hello ml and dl,attending,"priyadarshini college of engineering, nagpur ",whatsapp,students,2023,surat,8.5,4,0-2,11,no
ronald,ronald@xyz.com,1,hello ml and dl,attending,don bosco college of engineering fatorda goa,cloud counselage website,students,2023,gurugram,8.5,3,0-2,23,yes
jo,jo@xyz.com,1,hello ml and dl,attending,pillai college of engineering new panvel,email,students,2023,hisar,9.1,5,0-2,8,yes
aaron,aaron@xyz.com,1,hello ml and dl,attending,g h raisoni institut of engineering and technology pune,whatsapp|cloud counselage website,students,2026,agartala,7.6,5,0-2,19,yes
paul,paul@xyz.com,1,hello ml and dl,attending,"vishwakarma institute of technology, pune",cloud counselage website,students,2023,gonda,9.4,4,0-2,6,no
alexander,alexander@xyz.com,1,hello ml and dl,attending,"kle society's college of bca, rls institute, belagavi",others,students,2025,ghazipur,6.6,7,0-2,9,yes
ramona,ramona@xyz.com,1,hello ml and dl,attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",whatsapp,students,2024,gorakhpur,7.7,7,0-2,17,no
stephen,stephen@xyz.com,1,hello ml and dl,attending,"vishwakarma institute of technology, pune",whatsapp,students,2023,hamirpur,8.1,5,0-2,19,no
tiffany,tiffany@xyz.com,1,hello ml and dl,attending,"priyadarshini college of engineering, nagpur ",facebook,students,2024,budaun,7.1,7,0-2,11,yes
donald,donald@xyz.com,1,hello ml and dl,attending,st.francis institute of technology,whatsapp,students,2023,jhansi,8.3,3,0-2,12,yes
emma,emma@xyz.com,1,hello ml and dl,attending,late g. n. sapkal college of engineering,linkedin,students,2025,lucknow,8.0,4,0-2,10,no
karen,karen@xyz.com,1,hello ml and dl,attending,"symbiosis institute of technology, pune",telegram,students,2024,mathura,6.5,7,0-2,10,yes
clarence,clarence@xyz.com,1,hello ml and dl,attending,"mit academy of engineering ,alandi",instagram,students,2023,mainpuri,9.4,5,0-2,15,yes
margaret,margaret@xyz.com,1,hello ml and dl,attending,a. c. patil college of engineering,whatsapp,students,2024,varanasi,6.8,5,0-2,12,no
lee,lee@xyz.com,1,hello ml and dl,attending,wilson college ,linkedin|whatsapp,students,2023,almora,6.7,7,0-2,20,no
timothy,timothy@xyz.com,1,product marketing,attending,"ld college of engineering, ahmedabad, gujarat ",cloud counselage website,students,2026,alipore,7.9,4,0-2,21,no
arlene,arlene@xyz.com,1,product marketing,attending,dkte society's textile and engineering institute ichalkaranji,whatsapp,students,2024,haora,9.3,3,0-2,9,yes
carlos,carlos@xyz.com,1,product marketing,attending,"ld college of engineering, ahmedabad, gujarat ",cloud counselage website,students,2025,durgapur,6.9,5,0-2,9,no
marilyn,marilyn@xyz.com,1,product marketing,attending,g h raisoni institut of engineering and technology pune,whatsapp,students,2025,hugli,8.9,3,0-2,8,no
hector,hector@xyz.com,1,product marketing,attending,government polytechnic gandhinagar,others,students,2023,kolkata,8.3,7,0-2,7,no
floyd,floyd@xyz.com,1,product marketing,attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",others,students,2024,malda,7.2,7,0-2,21,no
ann,ann@xyz.com,1,product marketing,attending,"vishwakarma institute of technology, pune",whatsapp,students,2023,palashi,8.1,3,0-2,5,no
jennifer,jennifer@xyz.com,1,product marketing,attending,"kle society's college of bca, rls institute, belagavi",cloud counselage website,students,2024,santipur,9.5,5,0-2,16,yes
virginia,virginia@xyz.com,1,product marketing,attending,"priyadarshini college of engineering, nagpur ",email,students,2026,siliguri,9.6,7,0-2,21,yes
tracey,tracey@xyz.com,1,product marketing,attending,st.francis institute of technology,cloud counselage website,students,2023,silguri,7.5,3,0-2,8,no
william,william@xyz.com,1,product marketing,attending,new horizon institute of technology and management ,cloud counselage website,students,2025,siuri,7.9,5,0-2,7,no
sarah,sarah@xyz.com,1,product marketing,attending,"symbiosis institute of technology, pune",spoc|college professor,students,2024,talmuk,9.6,4,0-2,9,yes
aida,aida@xyz.com,1,product marketing,attending,"mit academy of engineering ,alandi",whatsapp|email,students,2024,siuri,9.1,7,0-2,30,no
douglas,douglas@xyz.com,1,product marketing,attending,a. c. patil college of engineering,whatsapp|spoc|college professor,students,2023,titagrah,7.3,5,0-2,24,no
lisa,lisa@xyz.com,1,product marketing,attending,wilson college ,cloud counselage website,students,2023,orchha,7.5,4,0-2,17,no
marcie,marcie@xyz.com,1,product marketing,attending,"ld college of engineering, ahmedabad, gujarat ",whatsapp,students,2025,sagar,7.6,3,0-2,11,yes
mack,mack@xyz.com,1,product marketing,attending,dkte society's textile and engineering institute ichalkaranji,whatsapp,students,2026,satna,8.0,5,0-2,21,no
willie,willie@xyz.com,1,product marketing,attending,"priyadarshini college of engineering, nagpur ",instagram,students,2025,ujjain,7.2,3,0-2,8,no
jeremiah,jeremiah@xyz.com,1,product marketing,attending,"vidyalankar institute of technology, mumbai",whatsapp|friend|classmate,students,2024,vidisha,9.1,7,0-2,30,no
gene,gene@xyz.com,1,product marketing,attending,adhiyamaan college of engineering,whatsapp,students,2023,bhandara,7.1,3,0-2,25,yes
heather,heather@xyz.com,1,product marketing,attending,don bosco college of engineering fatorda goa,whatsapp|friend|classmate|spoc|college professor,students,2025,bhsawal,9.5,7,0-2,21,yes
david,david@xyz.com,1,product marketing,attending,pillai college of engineering new panvel,friend|classmate|spoc|college professor,students,2024,bid,9.2,5,0-2,30,no
brian,brian@xyz.com,1,product marketing,attending,"priyadarshini college of engineering, nagpur ",whatsapp,students,2023,kalyan,7.8,5,0-2,21,no
chris,chris@xyz.com,1,product marketing,attending,"vidyalankar institute of technology, mumbai",whatsapp|spoc|college professor,students,2023,thane,9.1,5,0-2,17,no
ruth,ruth@xyz.com,1,product marketing,attending,chhattisgarh swami vivekananda technical university teaching department bhilai,whatsapp,students,2024,navi mumbai,6.9,4,0-2,18,no
roxanna,roxanna@xyz.com,1,product marketing,attending,don bosco college of engineering fatorda goa,whatsapp,students,2023,nanded,9.2,7,0-2,30,no
gregory,gregory@xyz.com,1,product marketing,attending,pillai college of engineering new panvel,whatsapp,students,2024,mahe,7.3,7,0-2,8,no
patrick,patrick@xyz.com,1,product marketing,attending,st xavier's college ,whatsapp,students,2023,amritsar,7.9,7,0-2,8,no
raymond,raymond@xyz.com,1,product marketing,attending,wilson college ,whatsapp,students,2023,ajmer,9.3,7,0-2,21,yes
tom,tom@xyz.com,1,product marketing,attending,"ld college of engineering, ahmedabad, gujarat ",whatsapp|spoc|college professor,students,2025,amer,6.4,3,0-2,17,no
stephanie,stephanie@xyz.com,1,product marketing,attending,dkte society's textile and engineering institute ichalkaranji,spoc|college professor,students,2025,barmer,8.4,7,0-2,13,no
charmaine,charmaine@xyz.com,1,product marketing,attending,"ld college of engineering, ahmedabad, gujarat ",whatsapp,students,2024,bikaner,6.6,3,0-2,11,yes
augustine,augustine@xyz.com,1,product marketing,attending,g h raisoni institut of engineering and technology pune,whatsapp,students,2024,jaipur,7.8,7,0-2,15,yes
mac,mac@xyz.com,1,product marketing,attending,government polytechnic gandhinagar,whatsapp,students,2023,jalor,8.7,5,0-2,19,no
flossie,flossie@xyz.com,1,product marketing,attending,"vishwakarma institute of technology, pune",whatsapp,students,2026,jodhpur,7.1,4,0-2,12,no
jean,jean@xyz.com,1,product marketing,attending,st.francis institute of technology,whatsapp,students,2023,sikar,8.5,4,0-2,9,no
lori,lori@xyz.com,1,product marketing,attending,late g. n. sapkal college of engineering,whatsapp,students,2023,amreli,9.7,7,0-2,25,no
jesus,jesus@xyz.com,1,product marketing,attending,a. c. patil college of engineering,cloud counselage website,students,2023,navsari,9.1,4,0-2,17,no
rebekah,rebekah@xyz.com,1,product marketing,attending,lokmanya tilak college of engineering koparkhairane navi mumbai,whatsapp,students,2026,ambala,8.3,5,0-2,10,no
jessica,jessica@xyz.com,1,product marketing,attending,"priyadarshini college of engineering, nagpur ",cloud counselage website,students,2023,chandigarh,9.2,4,0-2,10,no
pamula,pamula@xyz.com,1,product marketing,attending,"vidyalankar institute of technology, mumbai",linkedin|email|cloud counselage website|telegram,students,2024,faridabad,9.9,4,0-2,10,no
dorothy,dorothy@xyz.com,1,product marketing,attending,chhattisgarh swami vivekananda technical university teaching department bhilai,whatsapp,students,2023,kunrool,9.3,3,0-2,15,no
trevor,trevor@xyz.com,1,product marketing,attending,silicon institute of technology,spoc|college professor,students,2024,tirupati,7.1,7,0-2,12,yes
mickey,mickey@xyz.com,1,product marketing,attending,don bosco college of engineering fatorda goa,instagram,students,2023,eluru,7.3,7,0-2,21,no
berniece,berniece@xyz.com,1,product marketing,attending,st xavier's college ,whatsapp,students,2026,nagaon,8.3,5,0-2,9,yes
scott,scott@xyz.com,1,product marketing,attending,"vidyalankar institute of technology, mumbai",whatsapp,students,2023,tezpur,7.4,3,0-2,8,yes
arturo,arturo@xyz.com,1,product marketing,attending,wilson college ,cloud counselage website,students,2023,burani,7.3,3,0-2,21,no
ashley,ashley@xyz.com,1,product marketing,attending,"ld college of engineering, ahmedabad, gujarat ",email,students,2024,dehri,9.7,3,0-2,5,no
jacob,jacob@xyz.com,1,product marketing,attending,"ld college of engineering, ahmedabad, gujarat ",email,students,2025,bhandara,7.2,7,0-2,21,no
sherry,sherry@xyz.com,1,product marketing,attending,g h raisoni institut of engineering and technology pune,email,students,2026,bhsawal,7.1,5,0-2,8,no
frances,frances@xyz.com,1,product marketing,attending,government polytechnic gandhinagar,email,students,2024,bid,8.7,4,0-2,7,no
gerald,gerald@xyz.com,1,product marketing,attending,"kle society's college of bca, rls institute, belagavi",email,students,2023,jalgaon,6.8,3,0-2,13,yes
christy,christy@xyz.com,1,product marketing,attending,st.francis institute of technology,email,students,2025,thane,8.5,3,0-2,17,no
kelly,kelly@xyz.com,1,product marketing,attending,"symbiosis institute of technology, pune",cloud counselage website,students,2026,nagpur,6.7,4,0-2,8,yes
katherine,katherine@xyz.com,1,product marketing,attending,"mit academy of engineering ,alandi",whatsapp|friend|classmate,students,2024,nanded,6.7,3,0-2,9,no
jeanne,jeanne@xyz.com,1,product marketing,attending,a. c. patil college of engineering,whatsapp,students,2023,mahe,8.2,7,0-2,8,no
keri,keri@xyz.com,1,product marketing,attending,"ld college of engineering, ahmedabad, gujarat ",team entity,students,2024,patiala,8.7,4,0-2,25,yes
katrina,katrina@xyz.com,1,product marketing,attending,dkte society's textile and engineering institute ichalkaranji,whatsapp,students,2023,sangrur,9.1,7,0-2,21,no
debra,debra@xyz.com,1,product marketing,attending,"mit academy of engineering ,alandi",whatsapp,students,2025,ajmer,8.9,3,0-2,30,no
kathleen,kathleen@xyz.com,1,product marketing,attending,a. c. patil college of engineering,whatsapp,students,2026,amer,7.4,5,0-2,24,no
terry,terry@xyz.com,1,product marketing,attending,wilson college ,whatsapp|friend|classmate,students,2024,barmer,7.3,5,0-2,8,no
jason,jason@xyz.com,1,product marketing,attending,dkte society's textile and engineering institute ichalkaranji,youtube,students,2023,jaipur,9.2,4,0-2,21,yes
hobert,hobert@xyz.com,1,product marketing,attending,"thakur institute of management studies, career development & research - [timscdr]",email,students,2024,jalor,7.8,7,0-2,17,yes
cody,cody@xyz.com,1,product marketing,attending,lokmanya tilak college of engineering koparkhairane navi mumbai,whatsapp,students,2025,jhalwar,7.9,7,0-2,18,no
edna,edna@xyz.com,1,product marketing,attending,"vidyalankar institute of technology, mumbai",email,students,2023,kota,8.1,5,0-2,8,yes
joshua,joshua@xyz.com,1,product marketing,attending,pillai college of engineering new panvel,email,students,2025,dwarka,6.2,5,0-2,7,yes
amber,amber@xyz.com,1,product marketing,attending,"vidyalankar institute of technology, mumbai",spoc|college professor,students,2023,jamnagar,7.2,5,0-2,8,no
cheryl,cheryl@xyz.com,1,product marketing,attending,chhattisgarh swami vivekananda technical university teaching department bhilai,instagram,students,2024,morbi,8.4,7,0-2,6,no
kathy,kathy@xyz.com,1,iac - q&a,attending,adhiyamaan college of engineering,email,students,2023,navsari,6.6,7,2-5,7,yes
marina,marina@xyz.com,1,iac - q&a,attending,"vidyalankar institute of technology, mumbai",others,students,2024,valsad,6.3,4,0-2,8,yes
eugene,eugene@xyz.com,1,iac - q&a,attending,government polytechnic gandhinagar,whatsapp,students,2023,ambala,8.9,3,0-2,11,no
sharon,sharon@xyz.com,1,iac - q&a,attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",spoc|college professor,students,2023,chandigarh,9.5,7,0-2,20,no
micheal,micheal@xyz.com,1,iac - q&a,attending,st.francis institute of technology,others,students,2024,vijaywada,7.9,3,0-2,5,no
clay,clay@xyz.com,1,iac - q&a,attending,late g. n. sapkal college of engineering,others,students,2023,guwahati,8.3,7,0-2,9,no
wayne,wayne@xyz.com,1,iac - q&a,attending,"symbiosis institute of technology, pune",spoc|college professor,principal,2026,nagaon,6.4,7,0-2,13,no
kathryn,kathryn@xyz.com,1,iac - q&a,attending,"mit academy of engineering ,alandi",linkedin|telegram,students,2025,tezpur,7.5,5,0-2,15,yes
della,della@xyz.com,1,iac - q&a,attending,a. c. patil college of engineering,others,principal,2024,sivasagar,7.7,4,0-2,14,yes
christian,christian@xyz.com,1,iac - q&a,attending,"ld college of engineering, ahmedabad, gujarat ",others,asst. professor,2023,dehri,7.6,5,0-2,5,no
doris,doris@xyz.com,1,iac - q&a,attending,lokmanya tilak college of engineering koparkhairane navi mumbai,others,students,2024,bhsawal,7.4,4,0-2,14,no
luis,luis@xyz.com,1,iac - q&a,attending,"priyadarshini college of engineering, nagpur ",whatsapp,students,2026,bid,9.2,4,0-2,16,no
lana,lana@xyz.com,1,iac - q&a,attending,"vidyalankar institute of technology, mumbai",others,principal,2023,buldhana,7.6,7,0-2,9,no
josh,josh@xyz.com,1,iac - q&a,attending,chhattisgarh swami vivekananda technical university teaching department bhilai,others,students,2025,dhule,8.7,7,0-2,8,yes
kent,kent@xyz.com,1,iac - q&a,attending,silicon institute of technology,others,principal,2024,jalgaon,9.5,5,0-2,9,no
leo,leo@xyz.com,1,iac - q&a,attending,adhiyamaan college of engineering,whatsapp,asst. professor,2023,kalyan,6.9,7,0-2,7,no
melissa,melissa@xyz.com,1,iac - q&a,attending,don bosco college of engineering fatorda goa,whatsapp,students,2024,thane,9.2,4,0-2,8,no
earline,earline@xyz.com,1,iac - q&a,attending,pillai college of engineering new panvel,others,students,2025,navi mumbai,6.9,5,0-2,6,no
cordelia,cordelia@xyz.com,1,iac - q&a,attending,st xavier's college ,others,students,2025,mumbai,7.2,4,0-2,8,no
francisco,francisco@xyz.com,1,iac - q&a,attending,"s.i.e.s. graduate school of technology, nerul, navi mumbai",spoc|college professor,students,2024,nanded,6.5,4,0-2,5,yes
garry,garry@xyz.com,1,iac - q&a,attending,"vishwakarma institute of technology, pune",others,students,2023,sangrur,6.5,5,0-2,7,yes
neal,neal@xyz.com,1,iac - q&a,attending,"kle society's college of bca, rls institute, belagavi",others,hod,2025,ajmer,7.3,3,7-8,5,no
brett,brett@xyz.com,1,iac - q&a,attending,g h raisoni institut of engineering and technology pune,others,professor,2025,amer,6.7,7,0-2,8,no
jesse,jesse@xyz.com,1,iac - q&a,attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",others,students,2024,bikaner,6.7,3,0-2,18,yes
marc,marc@xyz.com,1,iac - q&a,attending,"vishwakarma institute of technology, pune",others,asst. professor,2023,jaipur,9.0,4,0-2,23,no
jeffery,jeffery@xyz.com,1,iac - q&a,attending,"kle society's college of bca, rls institute, belagavi",whatsapp,professor,2023,jalor,7.2,3,0-2,5,no
carolyn,carolyn@xyz.com,1,iac - q&a,attending,st.francis institute of technology,others,students,2025,jodhpur,6.5,7,0-2,9,no
paulette,paulette@xyz.com,1,iac - q&a,attending,new horizon institute of technology and management ,others,asst. professor,2025,kota,6.6,7,0-2,9,no
elvin,elvin@xyz.com,1,iac - q&a,attending,late g. n. sapkal college of engineering,others,students,2023,pali,9.5,5,0-2,17,yes
shirley,shirley@xyz.com,1,iac - q&a,attending,"symbiosis institute of technology, pune",whatsapp,principal,2024,sikar,8.1,5,0-2,13,yes
thelma,thelma@xyz.com,1,iac - q&a,attending,"mit academy of engineering ,alandi",whatsapp|spoc|college professor,students,2024,ahemdabad,9.7,4,2-5,11,no
jackie,jackie@xyz.com,1,iac - q&a,attending,a. c. patil college of engineering,whatsapp,principal,2023,amreli,9.3,4,0-2,15,no
pedro,pedro@xyz.com,1,iac - q&a,attending,wilson college ,spoc|college professor,asst. professor,2026,dwarka,9.1,7,0-2,19,yes
paula,paula@xyz.com,1,iac - q&a,attending,"ld college of engineering, ahmedabad, gujarat ",others,students,2023,godhra,7.6,4,0-2,18,yes
sergio,sergio@xyz.com,1,iac - q&a,attending,dkte society's textile and engineering institute ichalkaranji,others,students,2025,amravati,7.8,7,0-2,12,no
glenn,glenn@xyz.com,1,iac - q&a,attending,"ld college of engineering, ahmedabad, gujarat ",whatsapp,students,2025,kunrool,7.9,4,0-2,23,no
lillie,lillie@xyz.com,1,iac - q&a,attending,"vishwakarma institute of technology, pune",whatsapp,asst. professor,2023,guwahati,9.4,5,0-2,13,no
sandra,sandra@xyz.com,1,iac - q&a,attending,new horizon institute of technology and management ,spoc|college professor,hod,2025,burani,7.7,7,0-2,6,yes
chasity,chasity@xyz.com,1,iac - q&a,attending,late g. n. sapkal college of engineering,others,asst. professor,2024,dehri,7.5,5,0-2,9,yes
alicia,alicia@xyz.com,1,iac - q&a,attending,a. c. patil college of engineering,others,students,2025,gaya,7.3,4,0-2,17,yes
mamie,mamie@xyz.com,1,iac - q&a,attending,wilson college ,others,students,2024,haijipur,7.3,7,0-2,19,yes
steven,steven@xyz.com,1,iac - q&a,attending,"ld college of engineering, ahmedabad, gujarat ",youtube|instagram|whatsapp,students,2026,jamalpur,9.4,7,0-2,21,no
bridget,bridget@xyz.com,1,iac - q&a,attending,dkte society's textile and engineering institute ichalkaranji,others,students,2025,kaithar,6.6,5,0-2,18,no
dominique,dominique@xyz.com,1,iac - q&a,attending,"vidyalankar institute of technology, mumbai",others,students,2024,munger,8.5,7,0-2,21,yes
gloria,gloria@xyz.com,1,iac - q&a,attending,chhattisgarh swami vivekananda technical university teaching department bhilai,others,students,2023,patna,7.7,3,0-2,23,no
lyle,lyle@xyz.com,1,iac - q&a,attending,adhiyamaan college of engineering,others,students,2025,sasaram,7.9,7,0-2,15,no
ina,ina@xyz.com,1,iac - q&a,attending,don bosco college of engineering fatorda goa,others,students,2023,siwan,7.1,7,0-2,12,no
keith,keith@xyz.com,1,iac - q&a,attending,pillai college of engineering new panvel,whatsapp,students,2025,chandigarh,8.3,5,0-2,20,no
sean,sean@xyz.com,1,iac - q&a,attending,st xavier's college ,spoc|college professor,hod,2026,ambikapur,7.7,3,0-2,21,yes
deborah,deborah@xyz.com,1,iac - q&a,attending,government polytechnic gandhinagar,spoc|college professor,students,2024,durg,6.5,5,0-2,9,no
joanna,joanna@xyz.com,1,iac - q&a,attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",others,hod,2023,raipur,9.4,3,0-2,8,no
janette,janette@xyz.com,1,iac - q&a,attending,st.francis institute of technology,others,hod,2024,delhi,9.3,3,0-2,16,no
doreen,doreen@xyz.com,1,iac - q&a,attending,late g. n. sapkal college of engineering,others,students,2023,panji,8.9,5,0-2,8,yes
patricia,patricia@xyz.com,1,iac - q&a,attending,a. c. patil college of engineering,whatsapp,students,2024,amreli,8.1,4,0-2,9,no
lillian,lillian@xyz.com,1,iac - q&a,attending,wilson college ,whatsapp,hod,2025,dwarka,9.5,3,0-2,13,no
randolph,randolph@xyz.com,1,iac - q&a,attending,"ld college of engineering, ahmedabad, gujarat ",others,students,2025,godhra,9.6,7,0-2,24,no
drew,drew@xyz.com,1,iac - q&a,attending,dkte society's textile and engineering institute ichalkaranji,others,hod,2023,jamnagar,7.5,3,0-2,17,yes
leslie,leslie@xyz.com,1,iac - q&a,attending,"thakur institute of management studies, career development & research - [timscdr]",email,hod,2024,junagadh,7.9,4,0-2,11,yes
antonio,antonio@xyz.com,1,iac - q&a,attending,chhattisgarh swami vivekananda technical university teaching department bhilai,spoc|college professor,students,2023,navsari,7.3,4,0-2,8,yes
alice,alice@xyz.com,1,iac - q&a,attending,silicon institute of technology,others,hod,2025,okha,7.5,5,0-2,7,no
judith,judith@xyz.com,1,iac - q&a,attending,adhiyamaan college of engineering,friend|classmate|spoc|college professor,hod,2026,rajkot,7.6,3,0-2,25,no
carla,carla@xyz.com,1,iac - q&a,attending,don bosco college of engineering fatorda goa,others,students,2024,surat,8.0,7,0-2,21,no
manuel,manuel@xyz.com,1,iac - q&a,attending,st xavier's college ,whatsapp,students,2023,ambala,9.1,5,0-2,24,no
marianne,marianne@xyz.com,1,iac - q&a,attending,g h raisoni institut of engineering and technology pune,college,students,2025,gurugram,7.1,4,0-2,21,no
judy,judy@xyz.com,1,iac - q&a,attending,"vishwakarma institute of technology, pune",spoc|college professor,students,2024,kaithal,7.9,3,0-2,9,yes
kenya,kenya@xyz.com,1,iac - q&a,attending,"kle society's college of bca, rls institute, belagavi",others,asst. professor,2023,karnal,7.3,3,0-2,8,no
lourdes,lourdes@xyz.com,1,iac - q&a,attending,g h raisoni institut of engineering and technology pune,others,professor,2024,panipat,7.3,4,0-2,8,no
emil,emil@xyz.com,1,iac - q&a,attending,government polytechnic gandhinagar,others,students,2025,rewari,7.8,5,0-2,8,yes
sheila,sheila@xyz.com,1,iac - q&a,attending,"kle society's college of bca, rls institute, belagavi",others,students,2024,sonipat,8.4,7,0-2,9,no
delores,delores@xyz.com,1,iac - q&a,attending,"priyadarshini college of engineering, nagpur ",facebook,students,2026,chamba,6.7,3,0-2,9,no
laura,laura@xyz.com,1,iac - q&a,attending,late g. n. sapkal college of engineering,spoc|college professor,asst. professor,2023,kullu,7.9,5,0-2,11,no
alise,alise@xyz.com,1,iac - q&a,attending,"symbiosis institute of technology, pune",others,hod,2025,mandi,9.9,7,0-2,15,no
daryl,daryl@xyz.com,1,iac - q&a,attending,"mit academy of engineering ,alandi",others,students,2025,shimla,7.6,5,0-2,19,no
melanie,melanie@xyz.com,1,iac - q&a,attending,a. c. patil college of engineering,others,students,2024,una,9.3,7,0-2,18,no
terrell,terrell@xyz.com,1,iac - q&a,attending,wilson college ,others,asst. professor,2024,anantnag,6.4,7,0-2,12,yes
kristy,kristy@xyz.com,1,iac - q&a,attending,"ld college of engineering, ahmedabad, gujarat ",others,asst. professor,2023,baramula,8.4,3,0-2,23,yes
mitchell,mitchell@xyz.com,1,iac - q&a,attending,dkte society's textile and engineering institute ichalkaranji,others,students,2023,doda,6.6,3,0-2,8,no
roy,roy@xyz.com,1,iac - q&a,attending,"ld college of engineering, ahmedabad, gujarat ",email,students,2026,gulmarg,7.8,4,0-2,9,no
tommy,tommy@xyz.com,1,iac - q&a,attending,government polytechnic gandhinagar,others,asst. professor,2024,punch,7.2,4,0-2,13,yes
warren,warren@xyz.com,1,iac - q&a,attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",email,students,2025,rajouri,7.1,7,0-2,19,no
alan,alan@xyz.com,1,iac - q&a,attending,ap shah institute of technology ,whatsapp,students,2024,udhampur,8.5,5,0-2,22,no
juanita,juanita@xyz.com,1,iac - q&a,attending,don bosco college of engineering fatorda goa,others,students,2023,badmi,8.5,5,0-2,6,yes
darryl,darryl@xyz.com,1,iac - q&a,attending,pillai college of engineering new panvel,others,students,2026,ballari,9.1,5,0-2,9,no
clara,clara@xyz.com,1,iac - q&a,attending,"vidyalankar institute of technology, mumbai",others,students,2025,belgavi,8.7,4,0-2,15,no
stacey,stacey@xyz.com,1,iac - q&a,attending,"s.i.e.s. graduate school of technology, nerul, navi mumbai",others,principal,2025,bidar,6.5,3,0-2,17,no
tony,tony@xyz.com,1,iac - q&a,attending,g h raisoni institut of engineering and technology pune,whatsapp,students,2023,hasan,8.8,4,0-2,19,no
andrew,andrew@xyz.com,1,iac - q&a,attending,"b. k. birla college of arts, science & commerce (autonomous), kalyan",whatsapp,students,2024,mysuru,7.6,4,0-2,11,yes
elena,elena@xyz.com,1,iac - q&a,attending,"vishwakarma institute of technology, pune",others,asst. professor,2023,kochi,6.5,4,0-2,12,no
ricardo,ricardo@xyz.com,1,iac - q&a,attending,late g. n. sapkal college of engineering,others,students,2025,thrissur,9.1,7,0-2,10,yes
faye,faye@xyz.com,1,iac - q&a,attending,"mit academy of engineering ,alandi",others,students,2025,dhar,7.3,7,0-2,15,no
cora,cora@xyz.com,1,iac - q&a,attending,a. c. patil college of engineering,others,asst. professor,2024,indore,7.6,3,7-8,12,no
leigh,leigh@xyz.com,1,iac - q&a,attending,"ld college of engineering, ahmedabad, gujarat ",others,students,2024,gwalior,8.3,7,5-7,21,yes
marjorie,marjorie@xyz.com,1,iac - q&a,attending,dkte society's textile and engineering institute ichalkaranji,instagram,students,2023,narwar,9.2,3,2-5,9,no
robyn,robyn@xyz.com,1,internship program(ip) success conclave,attending,"thakur institute of management studies, career development & research - [timscdr]",others,students,2023,orchha,9.9,4,0-2,9,no
gabrielle,gabrielle@xyz.com,1,internship program(ip) success conclave,attending,lokmanya tilak college of engineering koparkhairane navi mumbai,others,computer engineer,2024,sagar,9.3,7,0-2,21,no
clark,clark@xyz.com,1,internship program(ip) success conclave,attending,"priyadarshini college of engineering, nagpur ",others,interior designer,2023,satna,7.1,4,2-5,18,no
vanessa,vanessa@xyz.com,1,internship program(ip) success conclave,attending,"vidyalankar institute of technology, mumbai",spoc|college professor,students,2024,ujjain,7.5,4,0-2,19,no
frederic,frederic@xyz.com,1,internship program(ip) success conclave,attending,chhattisgarh swami vivekananda technical university teaching department bhilai,others,cvo,2025,vidisha,7.3,3,0-2,21,yes
